STATE,COUNTY,POPESTIMATE2017
26,81,648594
26,83,2105
26,85,12013
26,87,88174
26,89,21657
26,91,98623
26,93,189651
26,95,6358
26,97,10712
26,99,871375
26,101,24427
26,103,66502
26,105,29073
26,107,43391
26,109,23046
26,111,83411
26,113,14998
26,115,149649
26,117,63550
26,119,9250
26,121,173693
26,123,48242
26,125,1250836
26,127,26442
26,129,20981
26,131,5881
26,133,23260
26,135,8287
26,137,24538
26,139,286383
26,141,12791
26,143,23895
26,145,191934
26,147,159350
26,149,60947
26,151,41269
26,153,8049
26,155,68446
26,157,52764
26,159,75353
26,161,367627
26,163,1753616
26,165,33276
27,1,15829
27,3,351373
27,5,34098
27,7,46513
27,9,39937
27,11,5026
27,13,66973
27,15,25194
27,17,35498
27,19,102119
27,21,29355
27,23,11980
27,25,55308
27,27,63569
27,29,8878
27,31,5398
27,33,11295
27,35,64424
27,37,421751
27,39,20762
27,41,37575
27,43,13784
27,45,20980
27,47,30535
27,49,46304
27,51,5941
27,53,1252024
27,55,18660
27,57,21018
27,59,39582
27,61,45137
27,63,9946
27,65,16024
27,67,42743
27,69,4250
27,71,12528
27,73,6685
27,75,10524
27,77,3744
27,79,28111
27,81,5678
27,83,25831
27,85,35884
27,87,5596
27,89,9356
27,91,19850
27,93,23131
27,95,25872
27,97,33064
27,99,39566
27,101,8346
27,103,33966
27,105,21944
27,107,6597
27,109,154930
27,111,58345
27,113,14238
27,115,29203
27,117,9087
27,119,31619
27,121,10970
27,123,547974
27,125,4030
27,127,15272
27,129,14645
27,131,65968
27,133,9490
27,135,15327
27,137,200000
27,139,145827
27,141,94570
27,143,14869
27,145,157822
27,147,36887
27,149,9634
27,151,9407
27,153,24515
27,155,3319
27,157,21608
27,159,13669
27,161,18787
27,163,256348
27,165,10840
27,167,6324
27,169,50873
27,171,134286
27,173,9867
28,1,31003
28,3,37210
28,5,12447
28,7,18477
28,9,8312
28,11,31945
28,13,14492
28,15,10139
28,17,17146
28,19,8278
28,21,8950
28,23,15828
28,25,19640
28,27,23154
28,29,28516
28,31,19079
28,33,178751
28,35,75471
28,37,7765
28,39,24094
28,41,13345
28,43,21087
28,45,47053
28,47,205027
28,49,239497
28,51,17739
28,53,8342
28,55,1339
28,57,23508
28,59,142152
28,61,16582
28,63,7262
28,65,11314
28,67,67930
28,69,9883
28,71,54374
28,73,61374
28,75,76155
28,77,12643
28,79,22715
28,81,84933
28,83,29223
28,85,34347
28,87,59186
28,89,104618
28,91,25069
28,93,35619
28,95,35872
28,97,10173
28,99,29369
28,101,21185
28,103,10742
28,105,49799
28,107,33994
28,109,55270
28,111,12032
28,113,39468
28,115,31640
28,117,25261
28,119,7269
28,121,152080
28,123,28420
28,125,4435
28,127,26947
28,129,16078
28,131,18112
28,133,25981
28,135,14125
28,137,28441
